Gene;B Memory;B Naive;Basophils LD;CD4+ effector;CD8 activated;MAIT;mDCs;Monocytes C;Monocytes NC+I;Naive T cells;Neutrophils LD;NK;pDCs;Plasmablasts;VD2-;VD2+
TMEM63C;1;0;0;1;2;0;0;2;17;0;2;0;0;0;0;0
TNFAIP6;1;1;0;0;0;0;3;32;6;0;181;0;0;0;0;0
TNFRSF10C;2;4;17;0;0;0;5;15;12;1;1643;1;0;0;0;0
TNFRSF21;0;2;1;0;0;0;7;1;1;0;0;1;351;0;0;0
TNFRSF4;0;0;2;28;0;1;0;0;0;1;0;5;0;0;1;1
TNFRSF8;2;1;0;0;0;0;4;28;108;0;15;0;1;1;0;0
TPM2;1;0;1;3;1;6;1;0;0;3;0;2;267;0;1;3
TRABD2A;5;12;2;104;23;15;9;1;2;261;2;4;3;2;23;33
TRAF4;36;43;21;8;8;10;17;2;8;5;1;8;279;5;10;10
TRAJ33;0;1;0;205;139;874;0;0;0;145;0;9;0;0;31;52
TRAJ56;0;0;0;98;24;0;0;0;0;77;0;20;0;0;3;4
TRAV1-2;0;0;0;72;175;2399;0;0;0;85;0;0;0;0;1;3
TRAV12-2;0;0;0;103;167;10;0;0;0;94;0;0;0;0;0;7
TRAV13-1;0;0;0;308;129;144;0;0;0;233;0;0;0;0;0;15
TRAV20;0;0;0;87;44;6;0;0;0;67;0;0;0;0;0;2
TRAV23DV6;0;0;0;102;8;8;0;0;0;69;0;0;0;0;1;2
TRAV41;0;0;0;78;19;0;0;0;0;64;0;0;0;0;3;4
TRAV8-1;0;0;0;63;14;17;0;0;0;40;0;0;0;0;0;2
TRAV8-2;0;0;0;98;33;45;0;0;0;71;0;0;0;0;0;3
TRAV8-6;0;0;0;93;26;17;0;0;0;67;0;0;0;0;0;3
TRBV10-3;0;0;0;130;22;17;0;0;0;90;0;0;0;0;2;6
TRBV16;0;0;0;10;1;0;0;0;0;4;0;2;0;0;0;2
TRBV26OR9-2;0;0;177;0;0;0;0;0;5;0;0;0;0;0;0;0
TRBV28;2;1;0;251;1015;128;0;0;0;236;0;12;0;0;33;28
TRBV6-1;0;0;0;142;34;364;0;0;0;89;0;0;0;0;3;11
TRBV6-4;0;0;0;24;1;909;0;0;0;18;0;0;0;0;1;13
TRDJ1;41;35;0;10;2;0;0;0;36;5;0;5617;0;3;1164;2175
TRDJ2;0;0;0;2;0;0;0;0;0;0;0;150;0;0;268;89
TRDJ3;0;0;0;0;0;0;0;0;0;3;0;163;0;0;135;246
TRDV1;0;0;0;31;21;1;0;0;0;25;0;0;0;0;2593;44
TRDV2;0;0;3;6;2;0;0;0;0;7;0;2;0;0;214;2758
TRDV3;0;0;0;3;1;1;0;0;0;2;0;7;0;0;1032;60
TREM1;14;23;3;0;0;0;101;419;74;0;2518;1;0;1;0;0
TREML3P;0;0;0;0;0;0;0;3;1;0;14;0;0;0;0;0
TRGC1;0;1;0;20;143;197;0;0;2;9;0;137;0;0;312;854
TRGC2;2;3;0;76;1066;755;0;1;2;40;0;222;0;0;2074;1228
TRGJP;0;0;0;1;50;76;0;0;0;2;0;52;0;0;130;929
TRGJP1;1;7;0;12;146;132;0;0;7;4;0;790;0;2;171;107
TRGV4;1;3;0;12;83;112;3;2;1;10;0;13;11;2;262;53
TRGV9;0;1;0;6;155;52;0;0;0;3;0;17;0;0;171;655
